iter	RMSE
0	13.50143849
1	13.3371969
2	13.1792242
3	13.02286032
4	12.86982171
5	12.72348766
6	12.57217934
7	12.43890473
8	12.29822759
9	12.16587702
10	12.03258737
11	11.91574559
12	11.79293978
13	11.66656337
14	11.53971542
15	11.41788765
16	11.30340084
17	11.19484905
18	11.07925394
19	10.97278275
20	10.87315778
21	10.77429688
22	10.68029817
23	10.58659457
24	10.5001228
25	10.41099918
26	10.32357994
27	10.23738991
28	10.15673591
29	10.07637702
30	10.00804807
31	9.932177274
32	9.849869506
33	9.775639503
34	9.699465231
35	9.63502442
36	9.573428706
37	9.512429891
38	9.456380012
39	9.39674789
40	9.339604812
41	9.281792575
42	9.232620646
43	9.195022841
44	9.145888156
45	9.07610534
46	9.023857646
47	8.975736685
48	8.92769275
49	8.883303509
50	8.843320516
51	8.795345685
52	8.753907147
53	8.707962963
54	8.669949378
55	8.631974653
56	8.593163356
57	8.553707011
58	8.520064825
59	8.485261348
60	8.451102648
61	8.419371462
62	8.388515924
63	8.337335958
64	8.316952405
65	8.279107206
66	8.249173132
67	8.220681334
68	8.18974438
69	8.161498044
70	8.138678103
71	8.113041827
72	8.079915735
73	8.053347403
74	8.031240262
75	8.009401654
76	7.982808357
77	7.964027159
78	7.94553234
79	7.920698875
80	7.896501926
81	7.877144839
82	7.858347793
83	7.841854501
84	7.820056229
85	7.799363645
86	7.785812217
87	7.768403452
88	7.747206137
89	7.725704588
90	7.709953835
91	7.689209274
92	7.676150678
93	7.662386006
94	7.642789998
95	7.628611886
96	7.614277637
97	7.594790719
98	7.572436348
99	7.556168772
100	7.54073201
101	7.529258039
102	7.513525381
103	7.491640148
104	7.476830519
105	7.460201606
106	7.445313683
107	7.435280752
108	7.418280571
109	7.402381791
110	7.391124783
111	7.380142996
112	7.343776447
113	7.330812168
114	7.318251982
115	7.283744571
116	7.273212419
117	7.256569547
118	7.241552975
119	7.231163088
120	7.218918038
121	7.205437188
122	7.189589807
123	7.176714996
124	7.16600257
125	7.155985493
126	7.123529392
127	7.109211452
128	7.100302528
129	7.090227811
130	7.052947044
131	7.02931716
132	7.016416039
133	7.002846643
134	6.994169443
135	6.982836571
136	6.97249798
137	6.966803465
138	6.955551667
139	6.93983955
140	6.933857338
141	6.925989584
142	6.911041565
143	6.902791741
144	6.895805968
145	6.889149134
146	6.881433262
147	6.871105268
148	6.863166739
149	6.851891733
150	6.844335104
151	6.838506501
152	6.833363945
153	6.826174612
154	6.818598692
155	6.810490273
156	6.800921148
157	6.795748694
158	6.789372798
159	6.782412391
160	6.778021378
161	6.769733325
162	6.758518102
163	6.749950299
164	6.742685135
165	6.722580305
166	6.712080102
167	6.70379178
168	6.692858038
169	6.687677942
170	6.679462846
171	6.668167557
172	6.641663575
173	6.633938601
174	6.628502164
175	6.619615085
176	6.61494981
177	6.607808303
178	6.602583486
179	6.594291235
180	6.586689588
181	6.576447975
182	6.570268924
183	6.566225554
184	6.559243073
185	6.553875593
186	6.539773127
187	6.530003169
188	6.504984802
189	6.499155233
190	6.479900085
191	6.474178282
192	6.449985348
193	6.441512796
194	6.435986931
195	6.430887063
196	6.426292928
197	6.420431123
198	6.415184556
199	6.409743143
200	6.404343733
201	6.399826491
202	6.392761583
203	6.388122584
204	6.380339595
205	6.374063854
206	6.371568141
207	6.368134404
208	6.36440041
209	6.358657503
210	6.353696672
211	6.337264716
212	6.332094941
213	6.326957686
214	6.321800403
215	6.313661721
216	6.308983779
217	6.302717048
218	6.297182836
219	6.273013098
220	6.268059202
221	6.263180718
222	6.258574772
223	6.256062788
224	6.252307727
225	6.229304715
226	6.223396156
227	6.218361941
228	6.21165657
229	6.206826679
230	6.201989683
231	6.195472125
232	6.189799366
233	6.186169549
234	6.180583864
235	6.175138367
236	6.172779569
237	6.166032904
238	6.160284078
239	6.156139287
240	6.145093844
241	6.140079433
242	6.133788113
243	6.128412562
244	6.120267906
245	6.117366169
246	6.107881829
247	6.101918203
248	6.096044904
249	6.089797733
250	6.086518189
251	6.080629927
252	6.076178731
253	6.051942787
254	6.024671256
255	6.023312035
256	6.01633521
257	6.012656259
258	6.01238663
259	6.002464191
260	5.998633164
261	5.99314015
262	5.987728449
263	5.982829254
264	5.974941766
265	5.973233876
266	5.96818217
267	5.962941726
268	5.955747837
269	5.953200987
270	5.948224993
271	5.944341183
272	5.940870701
273	5.935431983
274	5.93123168
275	5.927240976
276	5.924713525
277	5.919060398
278	5.915008868
279	5.910713933
280	5.904885753
281	5.901335149
282	5.892642383
283	5.889812723
284	5.868085882
285	5.864077823
286	5.860176357
287	5.853340178
288	5.849685811
289	5.848106131
290	5.842833421
291	5.81818718
292	5.816705175
293	5.80878796
294	5.806003973
295	5.800505067
296	5.797138351
297	5.791364231
298	5.766250454
299	5.762501227
300	5.759768788
301	5.758254654
302	5.753343484
303	5.749470992
304	5.735258518
305	5.731352303
306	5.711737643
307	5.706604662
308	5.701268134
309	5.698875363
310	5.695681314
311	5.67140368
312	5.668042458
313	5.65456953
314	5.648660435
315	5.645512872
316	5.643802245
317	5.64119842
318	5.622392303
319	5.617375466
320	5.59953358
321	5.578923614
322	5.561317473
323	5.556776366
324	5.552650769
325	5.548548906
326	5.544475472
327	5.53671617
328	5.533519436
329	5.515405378
330	5.500119025
331	5.494154361
332	5.48984208
333	5.485770384
334	5.481872655
335	5.47884176
336	5.475451933
337	5.468638453
338	5.46317394
339	5.458187986
340	5.454654256
341	5.452085121
342	5.445501924
343	5.44050803
344	5.437534877
345	5.434174906
346	5.429581781
347	5.425449856
348	5.419639389
349	5.413794069
350	5.408278683
351	5.39073605
352	5.373680421
353	5.370635115
354	5.363430107
355	5.359330796
356	5.355887015
357	5.352806232
358	5.348811769
359	5.343580466
360	5.340997536
361	5.33647739
362	5.318913857
363	5.315505155
364	5.31525028
365	5.311925588
366	5.308865911
367	5.29136841
368	5.287764529
369	5.281115961
370	5.278200138
371	5.263965866
372	5.261281114
373	5.246289992
374	5.243652277
375	5.240525887
376	5.240084842
377	5.236221263
378	5.234108296
379	5.218578405
380	5.210305319
381	5.196799319
382	5.189202826
383	5.185215745
384	5.182415454
385	5.175287077
386	5.172059061
387	5.168761887
388	5.163750432
389	5.154924044
390	5.151516521
391	5.149100319
392	5.146612834
393	5.1427328
394	5.129334035
395	5.125623645
396	5.120568433
397	5.109946922
