iter	Passed	Remaining
0	48	72327
1	99	73741
2	151	74608
3	199	73560
4	252	74299
5	302	74126
6	367	77187
7	417	76634
8	472	77077
9	532	78169
10	577	77067
11	629	76860
12	673	75912
13	724	75737
14	772	75329
15	820	75002
16	868	74618
17	911	73940
18	962	73895
19	1008	73485
20	1053	73125
21	1099	72760
22	1147	72605
23	1195	72444
24	1242	72237
25	1289	72029
26	1336	71837
27	1383	71666
28	1431	71523
29	1476	71270
30	1524	71143
31	1566	70785
32	1613	70661
33	1659	70461
34	1706	70376
35	1750	70121
36	1797	70005
37	1842	69807
38	1888	69685
39	1931	69433
40	1976	69275
41	2021	69110
42	2064	68885
43	2112	68833
44	2156	68688
45	2205	68648
46	2251	68536
47	2295	68386
48	2340	68267
49	2385	68127
50	2439	68254
51	2482	68078
52	2533	68127
53	2578	67984
54	2623	67889
55	2668	67763
56	2712	67630
57	2759	67557
58	2805	67463
59	2851	67399
60	2895	67259
61	2944	67252
62	2991	67199
63	3035	67063
