grid,year,circuitRef,location,trackLength,trackTurns,driverRef,driverNationality,constructorRef,constructorNationality
1,2014,sepang,Kuala Lumpur,5.543,15,hamilton,British,mercedes,German
3,2014,sepang,Kuala Lumpur,5.543,15,rosberg,German,mercedes,German
4,2014,sepang,Kuala Lumpur,5.543,15,alonso,Spanish,ferrari,Italian
6,2014,sepang,Kuala Lumpur,5.543,15,raikkonen,Finnish,ferrari,Italian
13,2014,sepang,Kuala Lumpur,5.543,15,massa,Brazilian,williams,British
17,2014,sepang,Kuala Lumpur,5.543,15,sutil,German,sauber,Swiss
10,2014,sepang,Kuala Lumpur,5.543,15,button,British,mclaren,British
2,2014,sepang,Kuala Lumpur,5.543,15,vettel,German,red_bull,Austrian
6,2014,albert_park,Melbourne,5.278,16,vergne,French,toro_rosso,Italian
17,2014,albert_park,Melbourne,5.278,16,chilton,British,marussia,Russian
20,2014,albert_park,Melbourne,5.278,16,gutierrez,Mexican,sauber,Swiss
15,2014,albert_park,Melbourne,5.278,16,bottas,Finnish,williams,British
18,2014,albert_park,Melbourne,5.278,16,jules_bianchi,French,marussia,Russian
4,2014,albert_park,Melbourne,5.278,16,kevin_magnussen,Danish,mclaren,British
8,2014,albert_park,Melbourne,5.278,16,kvyat,Russian,toro_rosso,Italian
19,2014,albert_park,Melbourne,5.278,16,ericsson,Swedish,caterham,Malaysian
18,2014,monaco,Monte-Carlo,3.337,19,sutil,German,sauber,Swiss
12,2014,monaco,Monte-Carlo,3.337,19,button,British,mclaren,British
4,2014,monaco,Monte-Carlo,3.337,19,vettel,German,red_bull,Austrian
22,2014,albert_park,Melbourne,5.278,16,grosjean,French,lotus_f1,British
7,2014,albert_park,Melbourne,5.278,16,hulkenberg,German,force_india,Indian
21,2014,albert_park,Melbourne,5.278,16,maldonado,Venezuelan,lotus_f1,British
16,2014,albert_park,Melbourne,5.278,16,perez,Mexican,force_india,Indian
2,2014,albert_park,Melbourne,5.278,16,ricciardo,Australian,red_bull,Austrian
14,2014,catalunya,Montmeló,4.657,14,kevin_magnussen,Danish,mclaren,British
12,2014,catalunya,Montmeló,4.657,14,kvyat,Russian,toro_rosso,Italian
19,2014,catalunya,Montmeló,4.657,14,ericsson,Swedish,caterham,Malaysian
2,2014,monaco,Monte-Carlo,3.337,19,hamilton,British,mercedes,German
1,2014,monaco,Monte-Carlo,3.337,19,rosberg,German,mercedes,German
5,2014,monaco,Monte-Carlo,3.337,19,alonso,Spanish,ferrari,Italian
6,2014,monaco,Monte-Carlo,3.337,19,raikkonen,Finnish,ferrari,Italian
16,2014,monaco,Monte-Carlo,3.337,19,massa,Brazilian,williams,British
19,2014,monaco,Monte-Carlo,3.337,19,chilton,British,marussia,Russian
17,2014,monaco,Monte-Carlo,3.337,19,gutierrez,Mexican,sauber,Swiss
13,2014,monaco,Monte-Carlo,3.337,19,bottas,Finnish,williams,British
21,2014,monaco,Monte-Carlo,3.337,19,jules_bianchi,French,marussia,Russian
8,2014,monaco,Monte-Carlo,3.337,19,kevin_magnussen,Danish,mclaren,British
9,2014,monaco,Monte-Carlo,3.337,19,kvyat,Russian,toro_rosso,Italian
22,2014,monaco,Monte-Carlo,3.337,19,ericsson,Swedish,caterham,Malaysian
2,2014,villeneuve,Montreal,4.361,14,hamilton,British,mercedes,German
7,2014,shanghai,Shanghai,5.451,16,bottas,Finnish,williams,British
19,2014,shanghai,Shanghai,5.451,16,jules_bianchi,French,marussia,Russian
15,2014,shanghai,Shanghai,5.451,16,kevin_magnussen,Danish,mclaren,British
14,2014,monaco,Monte-Carlo,3.337,19,grosjean,French,lotus_f1,British
20,2014,monaco,Monte-Carlo,3.337,19,kobayashi,Japanese,caterham,Malaysian
11,2014,monaco,Monte-Carlo,3.337,19,hulkenberg,German,force_india,Indian
3,2014,monaco,Monte-Carlo,3.337,19,ricciardo,Australian,red_bull,Austrian
7,2014,monaco,Monte-Carlo,3.337,19,vergne,French,toro_rosso,Italian
22,2014,sepang,Kuala Lumpur,5.543,15,ericsson,Swedish,caterham,Malaysian
2,2014,bahrain,Sakhir,5.412,15,hamilton,British,mercedes,German
1,2014,bahrain,Sakhir,5.412,15,rosberg,German,mercedes,German
9,2014,bahrain,Sakhir,5.412,15,alonso,Spanish,ferrari,Italian
5,2014,bahrain,Sakhir,5.412,15,raikkonen,Finnish,ferrari,Italian
7,2014,bahrain,Sakhir,5.412,15,massa,Brazilian,williams,British
22,2014,bahrain,Sakhir,5.412,15,sutil,German,sauber,Swiss
6,2014,bahrain,Sakhir,5.412,15,button,British,mclaren,British
15,2014,sepang,Kuala Lumpur,5.543,15,grosjean,French,lotus_f1,British
3,2014,albert_park,Melbourne,5.278,16,rosberg,German,mercedes,German
5,2014,albert_park,Melbourne,5.278,16,alonso,Spanish,ferrari,Italian
11,2014,albert_park,Melbourne,5.278,16,raikkonen,Finnish,ferrari,Italian
13,2014,albert_park,Melbourne,5.278,16,sutil,German,sauber,Swiss
10,2014,albert_park,Melbourne,5.278,16,button,British,mclaren,British
12,2014,albert_park,Melbourne,5.278,16,vettel,German,red_bull,Austrian
11,2014,sepang,Kuala Lumpur,5.543,15,kvyat,Russian,toro_rosso,Italian
14,2014,silverstone,Silverstone,5.891,18,bottas,Finnish,williams,British
12,2014,silverstone,Silverstone,5.891,18,jules_bianchi,French,marussia,Russian
5,2014,silverstone,Silverstone,5.891,18,kevin_magnussen,Danish,mclaren,British
9,2014,silverstone,Silverstone,5.891,18,kvyat,Russian,toro_rosso,Italian
21,2014,silverstone,Silverstone,5.891,18,ericsson,Swedish,caterham,Malaysian
20,2014,hockenheimring,Hockenheim,4.574,16,hamilton,British,mercedes,German
1,2014,hockenheimring,Hockenheim,4.574,16,rosberg,German,mercedes,German
7,2014,hockenheimring,Hockenheim,4.574,16,alonso,Spanish,ferrari,Italian
22,2014,silverstone,Silverstone,5.891,18,kobayashi,Japanese,caterham,Malaysian
4,2014,silverstone,Silverstone,5.891,18,hulkenberg,German,force_india,Indian
20,2014,silverstone,Silverstone,5.891,18,maldonado,Venezuelan,lotus_f1,British
7,2014,silverstone,Silverstone,5.891,18,perez,Mexican,force_india,Indian
8,2014,silverstone,Silverstone,5.891,18,ricciardo,Australian,red_bull,Austrian
10,2014,silverstone,Silverstone,5.891,18,vergne,French,toro_rosso,Italian
17,2014,silverstone,Silverstone,5.891,18,chilton,British,marussia,Russian
19,2014,silverstone,Silverstone,5.891,18,gutierrez,Mexican,sauber,Swiss
20,2014,red_bull_ring,Spielberg,4.318,10,ericsson,Swedish,caterham,Malaysian
6,2014,silverstone,Silverstone,5.891,18,hamilton,British,mercedes,German
1,2014,silverstone,Silverstone,5.891,18,rosberg,German,mercedes,German
16,2014,silverstone,Silverstone,5.891,18,alonso,Spanish,ferrari,Italian
13,2014,silverstone,Silverstone,5.891,18,sutil,German,sauber,Swiss
3,2014,silverstone,Silverstone,5.891,18,button,British,mclaren,British
2,2014,silverstone,Silverstone,5.891,18,vettel,German,red_bull,Austrian
11,2014,silverstone,Silverstone,5.891,18,grosjean,French,lotus_f1,British
5,2014,red_bull_ring,Spielberg,4.318,10,ricciardo,Australian,red_bull,Austrian
14,2014,red_bull_ring,Spielberg,4.318,10,vergne,French,toro_rosso,Italian
21,2014,red_bull_ring,Spielberg,4.318,10,chilton,British,marussia,Russian
17,2014,red_bull_ring,Spielberg,4.318,10,gutierrez,Mexican,sauber,Swiss
2,2014,red_bull_ring,Spielberg,4.318,10,bottas,Finnish,williams,British
18,2014,red_bull_ring,Spielberg,4.318,10,jules_bianchi,French,marussia,Russian
6,2014,red_bull_ring,Spielberg,4.318,10,kevin_magnussen,Danish,mclaren,British
7,2014,red_bull_ring,Spielberg,4.318,10,kvyat,Russian,toro_rosso,Italian
7,2014,hungaroring,Budapest,4.381,14,button,British,mclaren,British
2,2014,hungaroring,Budapest,4.381,14,vettel,German,red_bull,Austrian
14,2014,hungaroring,Budapest,4.381,14,grosjean,French,lotus_f1,British
17,2014,hungaroring,Budapest,4.381,14,kobayashi,Japanese,caterham,Malaysian
