grid,year,circuitRef,location,trackLength,trackTurns,driverRef,driverNationality,constructorRef,constructorNationality
7,2020,istanbul,Istanbul,5.338,14,ocon,French,renault,French
13,2016,spa,Spa,7.004,20,jolyon_palmer,British,renault,French
5,2005,silverstone,Silverstone,5.891,18,barrichello,Brazilian,ferrari,Italian
17,2021,red_bull_ring,Spielberg,4.318,10,ocon,French,alpine,French
23,2011,monaco,Monte-Carlo,3.337,19,liuzzi,Italian,hrt,Spanish
12,2005,istanbul,Istanbul,5.338,14,coulthard,British,red_bull,Austrian
12,2005,sepang,Kuala Lumpur,5.543,15,barrichello,Brazilian,ferrari,Italian
20,2016,albert_park,Melbourne,5.278,16,gutierrez,Mexican,haas,American
2,2007,interlagos,São Paulo,4.309,15,hamilton,British,mclaren,British
14,2007,sepang,Kuala Lumpur,5.543,15,sato,Japanese,super_aguri,Japanese
12,2013,spa,Spa,7.004,20,sutil,German,force_india,Indian
11,2004,catalunya,Montmeló,4.657,14,matta,Brazilian,toyota,Japanese
6,2002,nurburgring,Nürburg,5.148,15,raikkonen,Finnish,mclaren,British
0,2023,rodriguez,Mexico City,4.304,17,stroll,Canadian,aston_martin,British
12,2003,albert_park,Melbourne,5.278,16,trulli,Italian,renault,French
9,2022,imola,Imola,4.909,19,alonso,Spanish,alpine,French
4,2004,villeneuve,Montreal,4.361,14,montoya,Colombian,williams,British
9,2022,jeddah,Jeddah,6.174,27,gasly,French,alphatauri,Italian
13,2023,monaco,Monte-Carlo,3.337,19,albon,Thai,williams,British
18,2011,albert_park,Melbourne,5.278,16,heidfeld,German,renault,French
20,2005,albert_park,Melbourne,5.278,16,sato,Japanese,bar,British
5,2002,albert_park,Melbourne,5.278,16,raikkonen,Finnish,mclaren,British
20,2018,yas_marina,Abu Dhabi,5.281,16,stroll,Canadian,williams,British
10,2004,spa,Spa,7.004,20,raikkonen,Finnish,mclaren,British
3,2008,monza,Monza,5.793,11,webber,Australian,red_bull,Austrian
1,2005,villeneuve,Montreal,4.361,14,button,British,bar,British
17,2021,ricard,Le Castellet,5.842,15,raikkonen,Finnish,alfa,Swiss
13,2014,sochi,Sochi,5.848,15,gutierrez,Mexican,sauber,Swiss
17,2023,catalunya,Montmeló,4.657,14,kevin_magnussen,Danish,haas,American
14,2004,shanghai,Shanghai,5.451,16,heidfeld,German,jordan,Irish
1,2023,interlagos,São Paulo,4.309,15,max_verstappen,Dutch,red_bull,Austrian
9,2023,interlagos,São Paulo,4.309,15,perez,Mexican,red_bull,Austrian
12,2024,bahrain,Sakhir,5.412,15,stroll,Canadian,aston_martin,British
20,2012,interlagos,São Paulo,4.309,15,kovalainen,Finnish,caterham,Malaysian
13,1996,hungaroring,Budapest,4.381,14,barrichello,Brazilian,jordan,Irish
22,2013,silverstone,Silverstone,5.891,18,garde,Dutch,caterham,Malaysian
11,2019,marina_bay,Marina Bay,4.94,19,gasly,French,toro_rosso,Italian
6,2012,hockenheimring,Hockenheim,4.574,16,button,British,mclaren,British
1,2016,red_bull_ring,Spielberg,4.318,10,hamilton,British,mercedes,German
0,2021,ricard,Le Castellet,5.842,15,tsunoda,Japanese,alphatauri,Italian
5,2009,interlagos,São Paulo,4.309,15,raikkonen,Finnish,ferrari,Italian
13,2022,ricard,Le Castellet,5.842,15,albon,Thai,williams,British
8,2021,red_bull_ring,Spielberg,4.318,10,alonso,Spanish,alpine,French
2,1996,suzuka,Suzuka,5.807,18,damon_hill,British,williams,British
13,2024,jeddah,Jeddah,6.174,27,kevin_magnussen,Danish,haas,American
17,2021,istanbul,Istanbul,5.338,14,raikkonen,Finnish,alfa,Swiss
13,1997,monza,Monza,5.793,11,magnussen,Danish,stewart,British
6,2006,istanbul,Istanbul,5.338,14,button,British,honda,Japanese
